filepath,architecture,model,direction,genre,source_file,text_length,sttr,ttr,mtld,hdd,mean_sent_len,sd_sent_len,sent_skew,sent_kurt,n_sents,sent_pos,sent_neu,sent_neg,sent_polarity,sent_volatility,pos_entropy,func_word_ratio,alpha_ratio,punct_ratio,digit_ratio
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_001_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_001.txt,5,0.725,0.6184,61.8375,0.1987,1.1111,0.4581,3.8806,13.0588,18,0.0,1.0,0.0,0.0,0,0.4096,0.0,0.8753,0.0094,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_002_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_002.txt,3,0.6425,0.529,52.8958,0.2373,1.0,0.0,nan,nan,18,0.0,1.0,0.0,0.0,0,0.3974,0.0,0.8641,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_003_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_003.txt,3,0.7033,0.5872,58.7234,0.2465,1.0,0.0,nan,nan,18,0.0,1.0,0.0,0.0,0,0.3308,0.0,0.8974,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_004_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_004.txt,4,0.7425,0.6576,65.7627,0.1778,1.0,0.0,nan,nan,17,0.0,1.0,0.0,0.0,0,0.3279,0.0,0.8987,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_005_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_005.txt,3,0.6867,0.5897,58.9744,0.2325,1.0,0.0,nan,nan,19,0.0,1.0,0.0,0.0,0,0.3937,0.0,0.8661,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_006_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_006.txt,3,0.7067,0.6009,60.0877,0.2464,1.0,0.0,nan,nan,13,0.0,1.0,0.0,0.0,0,0.3815,0.0,0.8979,0.0,0.0209
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_007_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_007.txt,4,0.73,0.5919,59.19,0.1823,1.0,0.0,nan,nan,14,0.0,1.0,0.0,0.0,0,0.3417,0.0,0.8923,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_008_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_008.txt,4,0.686,0.5928,59.2834,0.1838,1.0,0.0,nan,nan,21,0.0,1.0,0.0,0.0,0,0.3687,0.0,0.8791,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_009_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_009.txt,2,0.7,0.6147,61.4679,0.2472,1.0,0.0,nan,nan,11,0.0,1.0,0.0,0.0,0,0.329,0.0,0.8982,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_010_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_010.txt,4,0.69,0.55,55.0,0.187,1.0,0.0,nan,nan,19,0.0,1.0,0.0,0.0,0,0.3525,0.0,0.8871,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_011_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_011.txt,2,0.74,0.6515,65.1515,0.2643,1.0,0.0,nan,nan,15,0.0,1.0,0.0,0.0,0,0.3512,0.0,0.8878,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_012_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_012.txt,4,0.702,0.6,60.0,0.1848,1.0,0.0,nan,nan,15,0.0,1.0,0.0,0.0,0,0.3464,0.0,0.89,0.0,0.0
/home/xieguiawu/Desktop/ML/Teddy/translations/deepseek-v4-flash/en_literature_013_en2zh.txt,llm,deepseek-v4-flash,en2zh,lit,/home/xieguiawu/Desktop/ML/Teddy/data/source_texts/en_lit/text_013.txt,3,0.6967,0.6227,62.2727,0.2433,1.0,0.0,nan,nan,17,0.0,1.0,0.0,0.0,0,0.3818,0.0,0.8724,0.0,0.0
